NUM_PEDIDO;CODCLI;CODVEN;DATA_EMISSAO;VLR_TOTAL;SITUACAO;OBSERVACOES
16;281;3;2012-12-19 00:00:00.000;2021.60;E;ESTA VINDO RETIRAR HOJE JUNTO C/SEUS PEDIDOS Q ESTAO AI EMBAIXO
17;279;3;2012-12-19 00:00:00.000;9999.70;E;P/SP.BCA ACES.PRETO
18;353;3;2012-12-19 00:00:00.000;820.80;E;MANDAR AS 2000 STAR II QUE NAO FORAM JUNTO C/AZUL
19;579;2;2012-12-19 00:00:00.000;603.25;E;"ACESSORIOS : 3.000 PRETOS
             1.000 VERM.
             1.000 VERDES"
20;370;3;2012-12-19 00:00:00.000;57.09;E;NULL
21;580;2;2012-12-19 00:00:00.000;119.70;E;NULL
22;246;3;2012-12-19 00:00:00.000;182.40;C;"VIRA RETIRAR SABADO DE MANHA FAVOR DEIXAR PRONTO JUNTO C/A NF
E DEIXARA UM CHEQUE PRA MEN"
23;372;3;2012-12-19 00:00:00.000;120.65;E;ACES PRETO, ESTA VINDO RETIRAR
24;113;2;2012-12-19 00:00:00.000;189.05;E;NULL
25;582;3;2012-12-19 00:00:00.000;0.00;E;NULL
26;365;2;2012-12-19 00:00:00.000;0.00;E;"ACESSORIOS :  5.000 BRANCOS
              8.000 AZUIS
              7.000 VERM.
              3.000 AMAR.
              5.000 PRETOS
              5.000 VERDES"
27;483;3;2012-12-19 00:00:00.000;0.00;E;PARA TODAS AS CANETAS ACES.AZUL
28;583;2;2012-12-19 00:00:00.000;123.97;C;"ACESSORIOS : 1.000 AZUIS
               500 SORTIDOS"
29;407;3;2012-12-19 00:00:00.000;30.40;E;NULL
30;16;2;2012-12-19 00:00:00.000;660.25;C;"ACESSORIOS DA SPECIAL : 2.500 PRETOS
                          800 AZUIS
                          800 VERDES
                          900 LILAS
                          200 AZUIS
                          100 DOURADOS
COM CARGAS BLICK"
31;584;3;2012-12-19 00:00:00.000;336.30;E;NULL
32;252;3;2012-12-19 00:00:00.000;703.00;E;"COLOCAR TAMBEM 200 PONTEIRA E 200 ALONGADORES PRETO
CARGA TAMANHO BIC"
33;169;1;2012-12-19 00:00:00.000;793.25;C;CANETAS : 2.000 AZUIS  /  1.000 BRANCAS  /  500 VINHOS  /  500 PRETAS
34;48;2;2012-12-20 00:00:00.000;256.50;E;NULL
35;373;2;2012-12-20 00:00:00.000;327.75;E;CARGAS BLICK
36;572;2;2012-12-20 00:00:00.000;405.18;E;NULL
37;585;2;2012-12-20 00:00:00.000;9.50;E;" *** MANDAR POR SEDEX A COBRAR ***"
38;113;2;2012-12-20 00:00:00.000;653.60;E;"ACESSORIOS : 1.500 PRETOS
             1.000 AZUIS
             1.000 VERMELHOS
               500 CINZA

***TRANSPORTADORA BRASPRESS FONE 6955-5222***"
39;245;3;2012-12-20 00:00:00.000;216.31;E;MARIA A ETIQUETA SEGUE JUNTO C/ESSE PEDIDO PARA VOCE DESPACHAR JA
40;24;3;2012-12-20 00:00:00.000;241.30;E;TAMPA VERDE CORPO BCO ACES INVERTIDO
41;483;3;2012-12-20 00:00:00.000;580.54;E;NULL
42;372;3;2012-12-20 00:00:00.000;31.82;E;NULL
43;308;1;2012-12-20 00:00:00.000;2447.20;E;"VERSATIL COM CORDAO E ACES.: 1.000 VERM / 1.000 AZUIS
VERSATIL C/ HASTE ACES.: 1.000 VERM. / 1.000 AZUIS
SPECIAL : ACES. SORTIDOS
CARGAS BLICK"
44;252;2;2012-12-20 00:00:00.000;1512.40;E;"ACESSORIOS DE SUPER LENTE :  5.000 PASTILHAS
                             3.000 CABECINHAS AZUIS"
45;409;3;2012-12-20 00:00:00.000;1013.65;E;NULL
46;423;3;2012-12-20 00:00:00.000;309.70;E;sortir as canetas em verm.,preto,azul,amar e verde 200 de cada
47;358;2;2012-12-20 00:00:00.000;2516.07;E;"ACESSORIOS DO SUPER LENTE : 1.000 BCO / 1.000 AZUIS / 1.000 VERM. /  
                            1.000 VERDES / 1.000 LARANJAS
ACESSORIOS DA SPECIAL : 1.000 MARRON / 1.000 VERDES
ACESSORIOS DA VERSATIL C/ HASTE : 6.125 VERM./ 125 VERDE / 125 AZUL 
                                    125 PRETO
ACESSORIOS DA VERSATIL C/ CORDAO : 125 VERDE / 125 AZUL / 125 VERM /
                                   125 PRETO
CARGAS BLICK
ACES.: CORPO DO SUPER LENTE
"
48;428;2;2012-12-20 00:00:00.000;51.30;E;"ACES.: 300 PRETOS 
       200 SORT. ( VERM./ AZUIS / VERDES )"
49;347;3;2012-12-20 00:00:00.000;15.20;E;"CANETAS GRAVADAS EM VERM E AZUL CANOA VIRADA
CARGA BLICK"
50;277;3;2012-12-20 00:00:00.000;0.00;E;"PARA CANETA SPECIAL BCA COLOCAR APENAS CORPO E TAMPA SEM ACESSORIOS
PARA SUPER LENTE ACES.AMARELOS COLOCAR 100 CHAPINHAS A MAIS
COLOCAR TAMBEM 2000 TAMPAS DA SPECIAL NA COR PRETA SO TAMPAS
2000 X 0,02 =+ 40,00"
51;246;3;2012-12-20 00:00:00.000;0.00;E;"COLOCAR AMOSTRAS STAR I E II E VERSATIL C/CLIP
VIRA RETIRAR AMANHA E ME DEIXARA UM CHEQUE DE R$ 476,00"
52;460;2;2012-12-20 00:00:00.000;2.85;E;** SO A TAMPA DO COFRINHO 250 VERM. / 250 AZUIS **
53;428;2;2012-12-20 00:00:00.000;26.22;E;**CARGAS BLICK**
54;370;3;2012-12-20 00:00:00.000;801.80;E;NULL
55;586;3;2012-12-20 00:00:00.000;270.46;E;NULL
56;428;3;2012-12-20 00:00:00.000;223.72;E;NULL
57;587;3;2012-12-20 00:00:00.000;157.70;E;NULL
58;258;2;2012-12-20 00:00:00.000;621.30;E;ACESSORIOS PRETOS
59;460;2;2012-12-23 00:00:00.000;60.80;C;"ACESSORIOS AZUIS
"
60;391;2;2012-12-23 00:00:00.000;673.07;E;"ACESSORIOS 3.000 AZUIS
           3.500 VERM."
61;60;3;2012-12-23 00:00:00.000;3424.75;E;"SP.BCA C/VINHO VERM E AZUL
SAO 6000 FUNDINHO POP E 4000 TAMPA"
62;394;3;2012-12-23 00:00:00.000;1713.32;E;ACES P/CANETA E TAMPA E ACES DA JR
63;425;1;2012-12-23 00:00:00.000;186.68;C;"ACES. DA VERSATIL VERM.
ACES. DO VEGAS VERM."
64;346;3;2012-12-23 00:00:00.000;6.37;E;C/TAMPINHAS COLOCAR AMOSTRAS DAS NOSSAS CARGAS
65;376;3;2012-12-23 00:00:00.000;1064.00;E;NULL
66;86;3;2012-12-23 00:00:00.000;578.60;E;TOTAL PED 620
67;460;2;2012-12-23 00:00:00.000;490.20;E;CANETAS STAR II CORPOS E ACES. AZUIS
68;553;3;2012-12-23 00:00:00.000;1009.85;E;"PARA OS BOMBAS COLOCAR 1000 SHEL, 1000 BR, 1000 ESSO
SEGUNDO ESSE CLIENTE FORAM FALTANDO 1000 CANETAS FAVOR
VERIFICAR EM SEU ULTIMO PEDIDO, DEVE TAMBEM REGUA FERRAGISTA"
69;150;3;2012-12-23 00:00:00.000;845.50;C;NULL
70;227;1;2012-12-23 00:00:00.000;123.69;E;NULL
71;252;3;2012-12-23 00:00:00.000;2408.72;E;NULL
72;121;1;2012-12-23 00:00:00.000;655.50;E;NULL
73;48;2;2012-12-23 00:00:00.000;558.60;E;NULL
74;602;3;2012-12-23 00:00:00.000;66.50;E;"VERM.,1000, AZUL 1000, VERDE 1000, PRETO 1000, AMAR CITR 1000
"
75;440;1;2012-12-23 00:00:00.000;2109.95;E;SP.BCA.TAMPA AZUL ACES.INVERTIDO
76;604;3;2012-12-23 00:00:00.000;186.20;E;"OP OK..........ACES  VERMELHO
FAVOR LIBERAR URGENTE"
77;252;2;2012-12-24 00:00:00.000;655.50;E;"**CARGAS BLICK**
NUMERO DO BANCO : 341
NUMERO DA AGENCIA : 0032
NUMERO DO CHEQUE : 888699
R$ 600,00
VENC.: 12/12
ALAIR JOSE DA SILVA LEITE"
78;48;2;2012-12-24 00:00:00.000;35.34;C;NULL
79;584;1;2012-12-24 00:00:00.000;177.65;E;"SP.BCA ACES VERM
COLOCAR A MAIS 105 TAMPAS C/CORDOES E ACES VERM"
80;308;3;2012-12-24 00:00:00.000;945.25;E;NULL
81;258;2;2012-12-24 00:00:00.000;1376.55;E;"  2.000 BOMBAS TEXACO
  1.000 BOMBAS SHELL
  1.000 BOMBAS IPIRANGA

  ACESSORIOS DA SPECIAL BRANCA : SORTIDOS

                         *** URGENTISSIMO ***"
82;408;3;2012-12-24 00:00:00.000;946.39;E;PARA SP.BCA ACES AZUL
83;603;2;2012-12-24 00:00:00.000;57.09;E;"ACES. DA SPECIAL : 100 AZUIS  /  100 VERM.
ACES. DO S.LENTE : 500 DE CADA COR
*** SEM CARGAS ***"
84;583;2;2012-12-24 00:00:00.000;0.00;C;NULL
85;537;3;2012-12-24 00:00:00.000;0.00;E;"ACES SLENTE PRETO AZUL E BCO
COLOCAR TAMBEM 100 FUNDINHO DOURADO"
86;342;2;2012-12-24 00:00:00.000;56.72;E;"ACESSORIOS DO SUPER LENTE :  1.250 VERM. / 250 AZUIS

ACES.: SO O CORPO DA SPECIAL"
87;308;1;2012-12-27 00:00:00.000;1206.50;E;NULL
88;373;2;2012-12-24 00:00:00.000;559.55;E;NULL
89;394;3;2012-12-24 00:00:00.000;327.75;E;NULL
90;483;3;2012-12-24 00:00:00.000;61.94;E;NULL
91;279;1;2012-12-24 00:00:00.000;1009.38;E;ACES AZUL P/SP.
92;549;3;2012-12-24 00:00:00.000;158.55;E;COLOCAR 20 TAMPAS STAR II
93;605;2;2012-12-24 00:00:00.000;171.00;C;NULL
94;427;3;2012-12-24 00:00:00.000;75.05;E;NULL
95;460;2;2012-12-25 00:00:00.000;146.30;E;"ACESSORIOS DO SUPER LENTE : 3.000 SORT. CITRICOS
                            1.000 AZUIS
                            1.000 VERM."
96;258;3;2012-12-25 00:00:00.000;36.57;E;ESTA VINDO RETIRAR
97;252;2;2012-12-25 00:00:00.000;168.62;E;"ACES. DO S. LENTE : VERDE / VERM. / BCO
ACES. DA POP : VERDE / VERM."
98;317;2;2012-12-25 00:00:00.000;433.20;E;"ACES. DA SPECIAL GOLD : DOURADOS
ACES. DA POP : PRETO


                              *** SEM  CARGAS  ***"
99;38;2;2012-12-25 00:00:00.000;934.80;E;"ACESSORIOS DA POP :  VERDES
CARGAS BLICK

                     DEIXAR PRONTO O CLIENTE IRA RETIRAR AS 13:30 HS"
100;280;1;2012-12-25 00:00:00.000;1408.38;E;"P/VERS.BCA. ACES AMARELO E PARA VERS.AMAR ACES PRETO
PARA FERRAGISTA MANDAR 3000 NORMAL E 2000 GRAVADA ESCALA 
SO FRENTE   //   P/TODAS AS SPECIAIS ACES.BCOS."
101;552;1;2012-12-25 00:00:00.000;4402.30;E;"TUDO MONTADO 
MANDAR TBEM 1000 SP.JR.  C/VERDE OK C/DORINHA...MONTADAS TBEM

"
102;607;3;2012-12-25 00:00:00.000;241.30;E;"CANETAS GRAVADAS 2 CORES C/CARGA BLICK
SIDAIDS C/ACES VERDE E VERM"
103;41;3;2012-12-25 00:00:00.000;1334.27;C;"ACES SP.SORTIDO,,, ACES VERSATIL 1000 VERM, 1000 VERDE
ACES S.LENTE 3000 AZUL, 3000 VERDE, 2000 VERM, 2000 VERDE CITR
SO PINO DO SLENTE 1000 AZUL,1000 VERM, 1000 VERDE CITR"
104;153;3;2012-12-25 00:00:00.000;931.00;E;"500 PAST.ROSA, C/ACES ROSA:
500 VERDE C/VERDE  CITR   :
1000 ACES S.LENTE AZUL    :
1000 CORPO SP.VINHO       :
ACES SP. 1000 VERDE, 1000 VERM,1500 AZUL, 1500 BCO.,       
"
105;258;2;2012-12-25 00:00:00.000;1060.20;E;"ACESSORIOS : 1.000 BRANCOS
             2.000 PRETOS
             1.000 AMAR.
             3.000 VERM.
             1.000 VERDES
             1.000 AZUIS"
106;477;3;2012-12-25 00:00:00.000;77.33;E;PARA SP.BCA.TAMPA VERM E ACES INVERTIDO
107;252;2;2012-12-26 00:00:00.000;60.51;C;"ACES. DO S.LENTE : 2.000 VERM. / 2.000 AZUIS
 
ABRIDOR : 50 VERM. / 50 AZUIS"
108;608;3;2012-12-26 00:00:00.000;57.85;E;NULL
109;48;2;2012-12-26 00:00:00.000;285.00;E;ACES. :  1.000 VERM. / 1.000 PRETOS  /  1.000 AZUIS
110;160;2;2012-12-26 00:00:00.000;449.25;E;"ACESSORIOS : DA SPECIAL PRETO
CARGAS : BLICK
SPECIAL AZUL ACES. AZUL
SPECIAL VERM. ACES. VERM.
ACES. DA POP : 500 AZUIS
               500 VERM."
111;421;3;2012-12-26 00:00:00.000;2.39;E;"DESPACHAR O MAIS RAPIDO POSSIVEL, PORQUE CLIENTE ESTA 
APAVORADA QUE AINDA NAO RECEBEU SUAS CARGAS DO PEDIDO
ANTERIOR FAVOR DAR PRIORIDADE A ELE....OBRIGADA"
112;543;3;2012-12-26 00:00:00.000;2113.75;E;NULL
113;408;3;2012-12-26 00:00:00.000;160.55;E;P/SP.BCA ACES AZUL
114;587;3;2012-12-26 00:00:00.000;193.90;E;NULL
115;314;2;2012-12-26 00:00:00.000;1270.15;E;"ACESSORIOS DA SPECIAL : 3.000 AZUIS
                        3.000 VERM.
                        2.000 PRETOS
                        1.000 VERDES
                        1.000 AMAR.


*** P/ ENTREGAR AMANHA ***"
116;406;3;2012-12-26 00:00:00.000;187.63;E;NULL
117;370;3;2012-12-26 00:00:00.000;609.95;E;"PARA SP.BCA. 250 ACES.VERM
PARA ACES COLOCAR OS DA VERSATIL COM CORDAO FUNDO TAMPA TAMPINHA 
E CORDAO NAS CORES: 1250 VERM., 1000 AZUL
"
118;483;3;2012-12-26 00:00:00.000;187.63;E;NULL
119;42;3;2012-12-26 00:00:00.000;2290.93;E;NULL
120;533;3;2012-12-26 00:00:00.000;285.95;C;COLOCAR A+ 500 CARGAS
121;483;3;2012-12-26 00:00:00.000;32.77;E;CARGAS BLICK
122;312;3;2012-12-26 00:00:00.000;1307.77;E;"PARA O NINJA 1500 CORPO BCO E 500 CORPO AMARELO, 500 C/
ACES AZUL, 1000 AMAR E 500 PRETO
COLOCAR TBEM 50 TAMPAS PORTA LAPIS AMARELO"
123;252;2;2012-12-27 00:00:00.000;2031.10;E;"ACES. DA POP: 1.000 VERM. / 1.000 AZUIS
ACES. DA SPECIAL :  AZUIS

8.000 SPECIAL E 2.000 SPECIAL CITRICAS C/ CARGAS BLICK PAGAS
N.DO BANCO : 341 I 341
N.DA AGENCIA : 0032 I 0032
N.DO CHEQUE : 888715 I 888716
ALAIR JOSE DA SILVA LEITE"
124;409;3;2012-12-27 00:00:00.000;879.22;E;ACES 500 E DO SLENTE
125;563;3;2012-12-27 00:00:00.000;561.45;E;NULL
126;571;2;2012-12-27 00:00:00.000;180.97;C;NULL
127;483;3;2012-12-27 00:00:00.000;56.14;E;"PARA CANETA PRETA ACES.BCO
PARA ACES DE CANETAS REFERE-SE A TAMPA DA SPECIAL
SENDO 50 VINHO E 50 PRETA"
128;301;1;2012-12-27 00:00:00.000;1673.27;E;"P/1220 CORPO E TAMPA VERM ACES.VERDE E CORDAO PRETO
COLOCAR TAMEBM 1020 TAMPAS SOZINHAS C/ACES E CORDAO AZUL
ESTA VINDO RETIRRAR ASSIM QUE TIVER PRONTO AVISAR DORINHA"
129;339;2;2012-12-27 00:00:00.000;1708.29;E;"ACES. DA SPECIAL AZUIS
CARGAS BLICK"
130;421;3;2012-12-30 00:00:00.000;0.00;E;"PARA O SLENTE COLOCAR 15000 PAST.BCAS E 3000 AMARELAS
mandar tambem 2000 ACES VERM E 2000 AZUL E 2000 ACES PRETO DO SL
PARA SPECIAL ACES CINZA C/ACES PRETO, AZUL C/ACES BCO, VINHO C/
ACES BCO, VERDE C/ACES.BCO..PARA SPECIAL BCA 2000 ACES AZUL, 2000
VINHO 2000 VERM E 1000 PRETO
MANDAR TAMBEM P/VERSATIL 2000 VINHO E 2000 AZUL ACES DE CLIP
"
131;252;3;2012-12-30 00:00:00.000;1155.20;E;"PARA AS 13000 CARGAS ACIMA 10000 ME TRARA O CHEQUE A TARDE
E 3000 FICAMOS DEVENDO SEMANA PASSADA"
132;152;3;2012-12-30 00:00:00.000;2398.75;C;"P/SP.BCA.ACES AZUL
SPECIAL DESMONTADA
REGUA DE 20 SEM ESCALA
CLIENTE PEDE URGENCIA"
133;418;3;2012-12-30 00:00:00.000;42.75;E;"P/SL ACES AZUL VERM E AMAR
"
134;409;3;2012-12-30 00:00:00.000;442.70;E;NULL
135;391;3;2012-12-30 00:00:00.000;2144.48;E;NULL
136;72;3;2012-12-30 00:00:00.000;718.20;E;ATENCAO.............COLOCAR AMOSTRAS DAS NOSSAS CARGAS
137;256;3;2012-12-30 00:00:00.000;596.50;E;NULL
138;232;3;2012-12-30 00:00:00.000;665.00;E;"P/PASTILHAS SLENTE, SENDO 15OOO BCA E 5000 AMARELA
"
139;168;3;2012-12-30 00:00:00.000;1524.75;E;P/ 5000 SP BCA ACES VERM E  P/5000 SP.BCA ACES AZUL
140;277;3;2012-12-30 00:00:00.000;433.11;C;PORTA MOEDAS C/.MOEDAS AZUIS
141;149;3;2012-12-30 00:00:00.000;1799.77;E;"ACES SP. 1000 VERM.,300 VERDE, 400 AZUL,200 PRETO, 200 AZUL
P/NINJA ACES AZULM VERM.PRETO,VERDE"
142;483;3;2012-12-30 00:00:00.000;220.40;E;ESTA VINDO RETIRAR
143;48;3;2012-12-30 00:00:00.000;1046.14;E;NULL
144;60;3;2012-12-30 00:00:00.000;687.80;E;"P/ACES.REFERE-SE A TAMPA E ACES CLIPS DA VERSATIL P/1000
E P/OS OUTROS 1000 ACES SAO SO TAMPA DA VERSATIL"
145;440;3;2012-12-30 00:00:00.000;2017.80;E;NULL
146;433;2;2012-12-30 00:00:00.000;517.75;E;"URGENTE.........URGENTE........URGENTE
FAVOR LIBERAR ATE AMANHA"
147;391;3;2012-12-30 00:00:00.000;63.08;E;NULL
148;408;3;2012-12-30 00:00:00.000;817.00;E;"P/2500 VERSATIL AMARELA C/CLIPS VERM
P/3000 SPECIAL AMARELA ACES PRETO C/TAMPA VINHO ACES PRETO
P/1000 SPECIAL AZUL ACES BCO
P/500 SPECIAL CINZA ACES PRETO"
149;399;3;2012-12-30 00:00:00.000;744.51;E;PEDIR PRO NO LEVAR A VIA DO CLIENTE E TRAZER O CHEQUE
150;121;3;2012-12-30 00:00:00.000;3182.50;E;NULL
151;245;3;2012-12-31 00:00:00.000;231.04;E;"ACES. DA SPECIAL BRANCA : 500 VERM.


PESO :
CAIXA :"
152;132;3;2012-12-31 00:00:00.000;202.92;C;NULL
153;279;3;2012-12-31 00:00:00.000;1291.05;E;"P/ACES.REFIRO-ME AO CORPO DA POP, APENAS CORPO
JA RETIROU RASCUNHO ASSINADO, ANEXO"
154;501;3;2012-12-31 00:00:00.000;840.75;E;NULL
155;252;3;2012-12-31 00:00:00.000;135.85;C;P/SP.AMARELA ACES.AZUL
156;260;3;2012-12-31 00:00:00.000;1595.05;E;"PARA ACESSORIOS REFIRO-ME A ACES.DA VERSATIL C/CORDAO SENDO:
2000 BCO.,2000 VERM., E 3000 AZUL"
157;48;3;2012-12-31 00:00:00.000;1278.89;C;NULL
158;315;2;2012-12-31 00:00:00.000;2917.45;C;"VEGAS ACES.: 500 AMAR. / 500 PRETOS
SPECIAL : 1.000 AMAR. / 2.000 AZUIS / 5.000 BCO / 1.000 LARANJA / 
2.000 PRETOS / 1.000 VINHO / 1.000 VERDES
CHAV. BOMBA : 200 TEXACO / 300 BR
ACES. S.LENTE : 5.000 AZUIS
ACES. DA SPECIAL : 3.000 AZUIS / 3.000 IDENT. BCO / 5.000 IDENT. DOURADO
ACES. DA STAR : 1.000 AZUIS
ACES. DA POP : 500 PRETOS / 500 VINHOS"
159;114;3;2012-12-31 00:00:00.000;385.70;E;P/ACES.COLOCAR APENAS DA POP AZUL S/CORPO E S/TAMPA
160;431;3;2012-12-31 00:00:00.000;49.87;E;NULL
161;611;3;2012-12-31 00:00:00.000;57.00;E;"PARA CANETA POP GRAVACAO AZUL  PEIXE GAROUPAS COM MAT P/CONSTR
COM ENDERECO COMPLETO E FONE.

PARA CANETA STAR I GRAVACAO EM AZUL CONF AMOSTRA (RIKDAN VARIEDADE
PARA SUA CASA COM FONE)"
162;610;2;2012-12-31 00:00:00.000;48.07;E;NULL
163;46;2;2012-12-31 00:00:00.000;1976.00;E;"ACES.: 5.000 VERDES
       5.000 PRETOS
      10.000 AZUIS
       5.000 BRANCOS
       5.000 VERM.
       5.000 AMAR.
       5.000 AMAR. CITRICOS
       5.000 VERDES CITRICOS
       5.000 LARANJAS CITRICOS

CARGAS BLICK"
164;45;3;2013-01-01 00:00:00.000;745.75;E;"COLOCAR A MAIS 1200 FUNDINHOS VERDE
COLOCAR CARGA BLICK CURTA !!!!!!!!!
FAVOR DEIXAR PEDIDO PRONTO CLIENTE 
ESTA VINDO RETIRAR"
165;612;1;2013-01-01 00:00:00.000;170.38;E;FAVOR APRONTAR JA PARA MOTO BOY LEVAR
166;409;3;2013-01-01 00:00:00.000;803.32;E;NULL
167;60;3;2013-01-01 00:00:00.000;672.13;E;NULL
168;408;3;2013-01-01 00:00:00.000;774.25;E;NULL
169;370;3;2013-01-01 00:00:00.000;6.72;E;NULL
170;46;2;2013-01-01 00:00:00.000;30.40;E;"ACES.: VERDES


                *** URGENTE, INCLUIR JUNTO AO PED. ANTERIO ***"
171;377;3;2013-01-01 00:00:00.000;1914.73;E;"MANDAR TUDO MONTADO....................
ACES SPEC.1500 C/AZUL,1000 C/VERM.,1000 C/PRETA"
172;572;3;2013-01-01 00:00:00.000;548.72;E;NULL
173;72;2;2013-01-01 00:00:00.000;327.75;E;NULL
174;614;3;2013-01-01 00:00:00.000;1177.05;C;"CANETAS AMARELAS C/ACES.VERM
VIRA RETIRAR A TARDE O QUE
TIVER PRONTO NO ESTOQUE"
175;543;3;2013-01-01 00:00:00.000;265.05;E;NULL
176;454;3;2013-01-01 00:00:00.000;843.13;E;"COLOCAR 500 DE CADA COR COM CORDAO E 500 CADA COR SEM CORDAO
VIRA RETIRAR 2A.FEIRA 20.10.97 TUDO MONTADO, POR FAVOR"
177;615;3;2013-01-01 00:00:00.000;198.93;E;"BCO 001
AG  0781
CC  10.500-7
CHQ 469092
DE  JOSE R LELIS
R$  150,00
P/  24.10.97"
178;150;3;2013-01-01 00:00:00.000;1172.30;E;"URGENTE........URGENTE
COLOCAR TAMBEM 500 TAMPINHAS VERDES DA TAMPA DA VERSATIL 
PARA CORDAO NA COR VERDE E 500 AMARELOS"
179;460;2;2013-01-01 00:00:00.000;836.00;E;ACES. PRETO
180;48;3;2013-01-01 00:00:00.000;2348.40;E;"PARA 3000 SP.BCA TAMPA AZUL C/ACES INVERTIDO
PARA 7000 SORTIDO
PARA ACESSORIOS REFIRO-ME A 5000 PASTILHAS DO
SLENTE SOZINHAS"
181;617;3;2013-01-01 00:00:00.000;507.30;E;"LEVARA HOJE 1000 CARGAS
PREPARAR SUAS CANETAS MONTADAS C/CARGAS
PARA 27.10.97"
182;279;3;2013-01-01 00:00:00.000;1255.90;E;COLOCAR 5000 SO FUNDINHO VERDE DA POP
183;618;1;2013-01-02 00:00:00.000;304.19;E;"PARA 500 SP.BCA TAMPA AZUL C/ACES.INVERTIDO
PARA 250 SP.VERDE TAMPA BCA ACES. INVERTIDO
PARA 200 SP.BCA TAMPA PRETA ACES. INVERTIDO
PARA 100 SP.BCA TAMPA VERM.ACES.  INVERTIDO
AS VISEIRAS DEVEM SER DE EVA"
184;245;3;2013-01-02 00:00:00.000;112.53;E;"ACES. DA SPECIAL : 300 DOURADOS  /  200 VERDES
CARGAS BLICK



PESO: 
CAIXA :"
185;41;3;2013-01-02 00:00:00.000;707.75;E;NULL
186;279;3;2013-01-02 00:00:00.000;1035.50;E;NULL
187;252;3;2013-01-02 00:00:00.000;291.75;E;NULL
188;72;2;2013-01-02 00:00:00.000;327.75;E;NULL
189;150;3;2013-01-02 00:00:00.000;653.12;E;"ACES SP. BORDO
PARA ACES COLOCAR APENAS AS TAMPINHAS DA TAMPA DA
VERSATIL PARA PASSAR CORDAO 
DESPACHAR HOJE JUNTO COM SEU OUTRO PEDIDO NR.900 DE
15.10.97"
190;16;2;2013-01-02 00:00:00.000;96.14;E;"TAMPA DA SPECIAL : VERMELHAS
CORPO DA SPECIAL : AMARELOS
ACES. DA SPECIAL : DOURADOS
CARGAS BLICK"
191;256;3;2013-01-02 00:00:00.000;795.34;E;NULL
192;533;3;2013-01-02 00:00:00.000;128.44;E;NULL
193;400;3;2013-01-02 00:00:00.000;516.32;E;"PARA 200 SP.BCA ACES.PRETO
PARA 300 SP.PRETA ACES AMARELO
PARA 1000 SP.BCA ACES.SORTIDO MENOS A COR AMARELA
"
194;280;3;2013-01-02 00:00:00.000;586.15;E;COLOCAR PENTES BCOS.,VERM.,E AMARELO
195;307;3;2013-01-02 00:00:00.000;655.50;E;NULL
196;395;3;2013-01-02 00:00:00.000;1035.50;E;NULL
197;389;3;2013-01-02 00:00:00.000;243.20;E;NULL
198;620;3;2013-01-02 00:00:00.000;698.25;E;"2000 POP BRANCA /ACES AZUL,  1000 C/AMAR C/ AZUL
ACES DA SP.AZUL"
199;584;3;2013-01-02 00:00:00.000;268.09;E;NULL
